0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-23.460974,-36.161987,-36.485435,-39.43468,-46.60618,-45.85843,-53.20611,-54.944733,-54.55783,-57.797554,-51.826435,-53.545654,-51.464725,-53.964554,-53.049614,-60.66429,-60.32395,-62.897625,-63.6899,-62.86959,-61.51364,-64.14148,-68.83766,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-27.495216,-33.303238,-40.830334,-41.342827,-43.991524,-47.209557,-49.738663,-51.453156,-50.603703,-55.05995,-53.3593,-55.117775,-53.60257,-58.82213,-58.034725,-59.573044,-62.537926,-72.61321,-66.31595,-71.208145,-72.69975,-75.72655,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-29.130539,-34.859795,-38.55019,-43.796585,-43.617714,-47.18656,-48.604748,-53.379578,-54.54001,-50.29081,-51.21968,-51.36547,-53.274864,-53.188766,-59.113556,-53.632248,-58.750427,-60.642357,-63.951454,-63.051994,-61.30683,-64.40455,-63.64621,-79.98718,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-25.616926,-33.41326,-37.683556,-41.433933,-44.459724,-45.10394,-47.760437,-55.229584,-48.63113,-48.49404,-48.837437,-46.614845,-47.968765,-53.561646,-52.727806,-56.20215,-64.10997,-57.37648,-73.930725,-60.025978,-67.264046,-70.956696,-65.36882,-71.270065,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-29.164814,-34.23044,-40.654747,-47.30191,-48.916565,-51.044186,-52.436295,-54.263924,-53.364983,-54.61038,-56.25833,-53.207115,-50.36356,-50.866287,-54.005913,-63.028572,-63.43444,-64.36598,-65.21873,-66.61513,-67.52821,-69.59737,-71.28305,-74.34032,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-31.662643,-38.392174,-43.265747,-48.4572,-45.29776,-49.20359,-52.438354,-54.690826,-62.452263,-53.330826,-53.421272,-54.056686,-50.87104,-51.651417,-55.89049,-58.273216,-61.158955,-64.55572,-72.276085,-70.3044,-74.27106,-71.50868,-71.62972,-73.3393,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-25.848694,-34.228638,-37.58163,-50.46164,-46.050934,-42.357788,-46.99487,-53.314465,-50.46853,-48.863575,-50.84384,-51.619953,-52.487774,-53.740997,-54.765224,-57.77616,-56.15528,-57.210854,-64.5622,-61.220734,-59.78987,-64.4244,-66.61878,-67.314705,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-30.148434,-35.926224,-42.01681,-44.195675,-46.083725,-44.936768,-46.279015,-55.834023,-51.87673,-51.457733,-50.451187,-48.563385,-55.766983,-50.57319,-53.985573,-56.714684,-59.959873,-62.149284,-63.093517,-66.745544,-63.385532,-66.260254,-71.73813,-66.40437,-76.25323,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-29.029913,-35.756866,-41.074867,-46.1476,-48.43404,-44.713562,-46.740887,-51.937737,-51.451756,-54.480736,-54.42055,-51.214447,-51.190144,-54.79621,-54.399715,-57.00715,-63.64769,-58.52833,-61.108124,-69.015915,-65.99522,-67.97771,-71.71185,-67.890755,-76.42829,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-29.45211,-30.346336,-35.722446,-40.54017,-43.51863,-48.95015,-43.537407,-45.997345,-43.967396,-50.981995,-52.92932,-50.4743,-48.450966,-52.184227,-50.65034,-58.5894,-59.574352,-54.92888,-62.256588,-59.668884,-59.429657,-62.996067,-62.56799,-65.497406,-78.3592,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
